OrderID,CustomerID,OrderDate,ShippingDate,OrderStatus,TotalAmount,PaymentMethod,ShippingAddress
1,1,2022-09-12,2022-09-18 0:00:00,Cancelled,263.8,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
2,1,2022-10-16,2022-10-17 0:00:00,Cancelled,849.12,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
3,1,2022-10-17,2022-10-21 0:00:00,Pending,574.16,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
4,1,2022-11-04,2022-11-06 0:00:00,Shipped,3324.77,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
5,1,2022-11-16,2022-11-21 0:00:00,Pending,591.3,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
6,1,2022-11-20,2022-11-25 0:00:00,Delivered,1660.93,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
7,1,2022-11-26,2022-11-27 0:00:00,Delivered,1184.34,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
8,1,2022-12-28,2023-01-01 0:00:00,Pending,950.06,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
9,1,2022-12-17,2022-12-22 0:00:00,Shipped,808.46,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
10,1,2022-12-12,2022-12-16 0:00:00,Shipped,1235.11,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
11,1,2022-12-19,2022-12-25 0:00:00,Shipped,740.12,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
12,1,2023-01-30,2023-02-04 0:00:00,Shipped,542.71,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
13,1,2023-02-03,2023-02-09 0:00:00,Delivered,1690.28,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
14,1,2023-01-07,2023-01-10 0:00:00,Delivered,2628.95,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
15,1,2023-02-07,2023-02-08 0:00:00,Shipped,40.13,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
16,1,2023-03-01,2023-03-06 0:00:00,Shipped,2183.93,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
17,1,2023-02-08,2023-02-15 0:00:00,Cancelled,2316.78,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
18,1,2023-02-18,2023-02-24 0:00:00,Cancelled,241.13,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
19,1,2023-03-16,2023-03-19 0:00:00,Shipped,1594.37,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
20,1,2023-04-03,2023-04-07 0:00:00,Shipped,2247.83,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
21,1,2023-03-07,2023-03-12 0:00:00,Shipped,1764.31,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
22,1,2023-03-23,2023-03-24 0:00:00,Shipped,2051.22,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
23,1,2023-05-03,2023-05-06 0:00:00,Pending,1908.75,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
24,1,2023-04-18,2023-04-24 0:00:00,Cancelled,295.66,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
25,1,2023-05-27,2023-05-28 0:00:00,Cancelled,809.05,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
26,1,2023-06-01,2023-06-07 0:00:00,Cancelled,2432.79,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
27,1,2023-06-03,2023-06-08 0:00:00,Pending,1447.51,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
28,1,2023-05-31,2023-06-04 0:00:00,Delivered,1128.84,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
29,1,2023-06-08,2023-06-11 0:00:00,Shipped,90.62,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
30,1,2023-06-12,2023-06-16 0:00:00,Delivered,2356.48,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
31,1,2023-06-24,2023-07-01 0:00:00,Pending,780.67,Bank Transfer,"Unit 6346 Box 5212, DPO AA 39342"
32,1,2023-06-14,2023-06-19 0:00:00,Cancelled,83.89,PayPal,"Unit 6346 Box 5212, DPO AA 39342"
33,1,2023-07-26,2023-07-31 0:00:00,Cancelled,1267.96,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
34,1,2023-07-25,2023-08-01 0:00:00,Delivered,2278.02,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
35,1,2023-07-20,2023-07-22 0:00:00,Pending,1451.75,Credit Card,"Unit 6346 Box 5212, DPO AA 39342"
